Summary,Issue key,Issue Type,Status,Project key,Project name,Priority,Resolution,Fix versions,Due date,Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Custom field (Epic Link),Epic Link Summary,Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Status Category
Create test cases for 'Records Found' in the System users section.,MIHA-69,Task,Done,MIHA,Proiect_Mihaela,Medium,Done,Version1 - AdminModule,,MIHA-15,MIHA-70,,,,,,,,MIHA-10,'Admin' will have multiple sections.,,,,Done
Create test cases for Work Shifts section.,MIHA-56,Task,Backlog,MIHA,Proiect_Mihaela,Medium,,Version1 - AdminModule,,MIHA-51,MIHA-93,MIHA-94,MIHA-95,MIHA-96,,,,,MIHA-10,'Admin' will have multiple sections.,,,,To Do
Create test cases for Job Categories section.,MIHA-55,Task,Backlog,MIHA,Proiect_Mihaela,Medium,,Version1 - AdminModule,,MIHA-50,MIHA-88,MIHA-89,MIHA-90,MIHA-91,MIHA-92,MIHA-106,,,MIHA-10,'Admin' will have multiple sections.,,,,To Do
Create test cases for Employment Status section.,MIHA-54,Task,Backlog,MIHA,Proiect_Mihaela,Medium,,Version1 - AdminModule,,MIHA-49,MIHA-85,MIHA-86,MIHA-87,,,,,,MIHA-10,'Admin' will have multiple sections.,,,,To Do
Create test cases for Pay Grades section.,MIHA-53,Task,Backlog,MIHA,Proiect_Mihaela,Medium,,Version1 - AdminModule,,MIHA-48,MIHA-76,MIHA-77,MIHA-78,MIHA-79,MIHA-80,MIHA-81,MIHA-82,MIHA-83,MIHA-10,'Admin' will have multiple sections.,,,,To Do
Create test cases for Job Title section.,MIHA-52,Task,Selected for Development,MIHA,Proiect_Mihaela,Medium,,Version1 - AdminModule,,MIHA-47,MIHA-61,MIHA-71,MIHA-72,MIHA-73,MIHA-74,,,,MIHA-10,'Admin' will have multiple sections.,,,,To Do
Create test cases for the 'Edit' button in the System User section.,MIHA-31,Task,In Progress,MIHA,Proiect_Mihaela,Medium,,Version1 - AdminModule,,MIHA-17,MIHA-41,MIHA-65,MIHA-66,MIHA-67,MIHA-68,,,,MIHA-10,'Admin' will have multiple sections.,,,,In Progress
Create test cases for the 'Reset' button in the System User section.,MIHA-30,Task,In Progress,MIHA,Proiect_Mihaela,Medium,,Version1 - AdminModule,,MIHA-16,MIHA-40,,,,,,,,MIHA-10,'Admin' will have multiple sections.,,,,In Progress
Create test cases for the 'Search' button in the System User section.,MIHA-29,Task,Done,MIHA,Proiect_Mihaela,Medium,Done,Version1 - AdminModule,,MIHA-15,MIHA-39,MIHA-60,MIHA-63,MIHA-64,,,,,MIHA-10,'Admin' will have multiple sections.,,,,Done
Create test cases for the 'Delete' button in the System User section.,MIHA-28,Task,Done,MIHA,Proiect_Mihaela,Medium,Done,Version1 - AdminModule,,MIHA-14,MIHA-38,MIHA-59,,,,,,,MIHA-10,'Admin' will have multiple sections.,,,,Done
Create test cases for the 'Add' button in the System User section.,MIHA-27,Task,Done,MIHA,Proiect_Mihaela,Medium,Done,Version1 - AdminModule,,MIHA-13,MIHA-37,MIHA-57,MIHA-58,MIHA-62,,,,,MIHA-10,'Admin' will have multiple sections.,,,,Done
